wage,exper,female,tenure3,educ
3.1,2,1,0,11
3.2,22,1,0,12
3,2,0,0,11
6,44,0,1,8
5.3,7,0,0,12
8.8,9,0,1,16
11,15,0,1,18
5,5,1,1,12
3.6,26,1,1,12
18,22,0,1,17
6.3,8,1,0,16
8.1,3,1,0,13
8.8,15,0,0,12
5.5,18,0,1,12
22,31,0,1,12
17,14,0,0,16
7.5,10,1,0,12
11,16,1,1,13
3.6,13,1,0,12
4.5,36,1,1,12
6.9,11,1,1,12
8.5,29,0,1,12
6.3,9,1,1,16
0.53,3,1,0,12
6,37,1,1,11
9.6,3,0,1,16
7.8,11,0,1,16
13,31,0,0,16
13,30,0,0,15
3.3,9,1,0,8
13,23,0,1,14
4.5,2,1,1,14
9.7,16,1,1,13
5,7,1,1,12
4.7,3,1,0,12
4.3,22,1,1,16
6.2,15,1,1,12
3.5,39,0,1,4
3,3,1,1,14
6.3,11,1,0,12
7.8,3,1,0,12
10,20,1,1,12
4.5,16,1,0,14
4,45,1,1,11
6.4,11,1,1,13
14,20,0,1,15
1.7,1,0,0,10
2.9,36,1,0,12
3.7,9,0,0,14
2.9,15,1,0,12
1.6,18,1,0,12
8.6,3,1,0,16
5,15,0,1,12
6,7,0,1,12
2.5,2,0,0,12
3.3,3,0,0,15
3.4,1,1,0,16
10,13,0,0,8
22,8,1,1,18
4.4,7,0,0,16
12,40,1,1,13
12,42,0,1,14
6.3,36,0,1,10
3.7,13,1,0,10
7.8,9,0,1,14
20,26,0,1,14
6.3,7,1,1,16
10,25,0,1,12
5.7,10,0,1,16
2,3,1,0,12
5.7,3,1,0,16
13,17,0,0,17
4.9,17,0,1,12
2.9,20,1,1,12
3.8,7,1,0,12
12,24,0,1,13
4,28,1,0,12
3.1,2,1,0,12
8.4,19,0,1,12
7.1,13,0,0,18
4.5,22,0,1,9
4.7,3,0,0,16
2.9,4,1,0,10
6.7,7,0,1,12
3.5,6,1,0,12
3.3,13,1,1,12
3.3,14,1,0,12
8,14,1,1,12
9.9,40,0,1,8
7.5,11,0,1,12
5.9,14,0,1,12
12,40,0,1,14
3,1,1,0,12
4.8,2,1,0,12
6.5,4,1,0,12
4,19,1,0,9
3.5,1,0,0,13
13,34,0,1,12
4.3,5,0,0,14
3.5,3,0,0,12
5.1,6,1,1,15
3.8,14,1,0,12
4.5,35,1,1,12
7.6,8,1,1,12
15,7,0,1,14
6.8,11,1,1,15
13,14,0,1,12
6.7,35,0,1,12
2.5,46,1,0,12
9.8,7,0,0,17
3.4,45,0,1,11
25,29,0,1,18
5.4,6,0,1,12
6.1,15,0,0,14
4.2,33,1,1,14
3.8,15,0,0,10
3.5,5,1,0,14
3.6,7,0,0,12
3.8,6,0,0,15
3,33,1,1,8
5,2,1,0,16
4.6,4,1,0,14
3,1,0,0,15
3.2,29,1,0,12
3.9,17,0,1,18
6.4,17,1,1,16
5.5,36,1,1,10
1.5,31,0,1,8
2.9,23,1,0,10
5,13,0,0,11
8.9,3,0,1,18
5,15,0,0,15
3.5,48,0,0,12
2.9,6,1,0,11
4.5,12,0,0,12
2.3,5,1,0,12
5,19,0,1,14
10,9,0,1,16
3.8,39,0,1,2
10,28,1,1,14
11,23,0,1,16
7.9,2,0,0,12
4.7,15,1,0,12
5.8,5,1,0,13
3.8,18,1,0,12
3.2,2,1,0,15
2,3,1,0,10
4.5,31,1,1,12
12,20,1,1,16
2.1,34,1,1,13
2.4,5,0,0,9
3.8,11,0,0,12
5.5,31,0,1,13
6.5,8,1,1,12
3.1,2,1,0,12
10,18,0,1,14
6.6,3,0,0,16
10,3,0,0,16
2.3,4,1,0,9
6.9,4,0,1,18
2.8,1,0,0,10
3.1,1,1,0,10
8,28,0,1,13
4.5,47,1,1,12
8.6,13,1,0,18
2,2,1,1,13
4.8,48,1,0,12
6.3,6,1,1,13
6,8,0,0,13
15,25,0,1,13
15,13,1,1,18
13,8,0,0,12
5.3,19,1,1,12
2.2,1,1,1,13
7.1,43,1,1,12
6.2,19,1,1,12
9,11,1,1,12
10,43,0,1,14
5.8,44,0,1,10
4,22,1,1,12
8.8,3,0,0,16
6.5,3,1,0,16
7.6,41,1,1,12
5,5,0,0,14
5,14,1,1,12
22,24,0,1,12
8.6,28,0,1,12
3.3,25,0,1,12
4.4,3,0,0,12
4.6,11,0,0,12
3.5,7,1,1,12
6.3,9,0,0,16
3.8,5,0,0,16
6.2,9,1,1,14
2.9,1,1,0,11
6.3,2,1,0,16
6.3,13,1,0,12
9.1,10,0,0,12
10,5,0,1,17
11,30,0,1,12
6.9,31,0,1,12
8.8,1,0,0,16
10,9,0,0,8
3,10,1,0,12
3,38,1,0,12
5.8,19,1,1,12
4.1,5,1,0,16
8,26,0,0,12
6.2,35,1,1,12
2.7,2,1,0,9
2.8,1,1,0,13
3,19,1,1,16
3,3,1,0,14
7.4,36,0,1,8
7.5,29,0,1,14
3.5,1,0,0,13
8.1,38,1,1,12
3.8,1,0,0,18
3.3,29,0,0,9
5.8,36,1,1,8
3.5,4,0,0,8
3.3,45,1,1,12
4,22,1,1,14
3.5,20,1,1,12
6.3,5,0,0,16
3,15,1,0,8
5.7,10,1,0,13
3,3,1,0,9
23,16,0,1,16
9,38,0,0,12
8.3,33,0,1,15
3,2,0,0,11
5.8,6,0,1,14
6.8,19,0,1,12
10,29,0,0,12
3,2,0,0,12
3.5,3,1,0,18
3.3,4,0,0,12
4,10,1,0,12
2.9,4,1,0,12
3.1,14,1,1,12
3.2,15,1,1,12
4.8,19,0,0,12
3,17,1,0,14
18,29,0,1,16
3.5,2,1,0,12
4.1,5,0,0,14
2,38,1,1,11
4.3,3,1,0,12
3,47,0,0,10
6.4,7,0,1,12
5.2,47,0,1,6
4.5,23,1,0,13
3.9,12,0,1,12
3.5,11,1,0,10
11,25,0,1,12
4.1,6,1,0,14
3,3,0,0,13
5.9,14,0,1,12
18,13,1,0,18
4,9,0,0,12
3,1,0,0,12
3.5,6,1,0,12
3,11,1,0,12
8.8,47,0,1,12
2.9,49,1,1,8
6.3,37,1,1,13
3.5,2,1,0,13
4.6,7,1,0,14
6,22,0,1,12
2.9,8,1,0,10
5.6,1,0,0,16
4,43,1,1,12
6,2,0,0,16
4.5,2,1,0,12
2.9,1,0,1,14
4.3,1,0,0,18
19,26,0,1,17
4.3,1,1,0,13
4.6,37,1,1,14
6.3,12,1,1,15
3,41,0,1,14
8.8,24,0,0,12
8.5,38,0,1,8
3.8,18,1,0,12
3.2,26,0,0,12
5,45,0,0,8
6.5,27,0,0,12
2,2,0,0,9
4.8,41,0,1,12
5.8,11,0,1,16
3.2,5,1,0,12
4.7,3,1,0,16
4.1,3,1,0,12
2.9,4,0,0,12
6,21,0,1,13
3.6,34,1,1,10
4,49,0,1,6
7,6,0,1,12
3,26,1,1,12
6.1,9,0,0,16
8.6,23,0,1,12
3,33,0,0,8
3.8,5,1,0,12
2.9,49,0,1,6
3,48,0,0,4
6.3,35,0,1,11
3.5,23,1,0,11
3,26,1,0,7
3.2,16,1,0,12
8,23,1,1,18
3.3,36,1,1,12
5.3,4,0,0,16
6.3,10,0,0,12
3.5,18,0,0,14
3,3,0,0,12
3,7,1,0,10
4.7,7,0,1,10
3.7,33,1,0,9
4,34,0,1,10
4,8,1,0,12
2.9,17,1,0,12
3,2,1,0,12
5.1,5,1,0,10
14,41,0,1,16
18,35,0,1,16
6.3,11,0,1,16
5.3,4,0,0,12
4.8,12,1,1,12
3.3,35,1,0,7
3,33,0,0,8
8.4,8,0,1,16
5.7,2,0,0,16
12,8,0,1,18
3.5,29,1,0,13
4.2,14,0,1,10
7,26,1,1,16
6,11,1,1,14
12,10,0,0,16
4.5,13,0,0,12
3,23,1,1,9
2.9,1,0,0,11
15,35,0,1,11
4,5,0,0,12
5.3,13,0,1,11
4,22,0,1,12
3.3,21,1,1,12
5.1,19,1,0,12
3.6,13,0,0,12
5,15,0,1,14
4.6,3,0,0,14
13,6,0,0,18
3.5,6,1,1,12
4.6,16,1,0,12
10,31,0,0,12
2.9,1,1,0,11
4.5,5,0,0,12
6.5,3,0,0,17
7.5,11,0,0,16
3.5,6,1,1,13
4.2,11,1,1,13
3.5,7,1,0,12
4.5,5,0,0,14
3.3,5,1,1,14
2.9,2,0,0,11
5.3,44,0,1,10
4.1,44,0,1,8
3.8,13,1,0,14
3.4,26,1,1,12
3,2,1,0,10
6.3,10,0,1,17
2.5,2,1,0,9
4.5,35,1,0,12
3.1,6,1,1,12
6.4,8,0,0,14
4.7,1,0,0,16
6.8,14,0,1,12
8.5,14,0,1,10
4.2,22,1,1,0
3.8,8,1,1,14
11,1,1,1,15
3.3,15,1,1,16
9.1,14,0,1,12
4.5,37,0,1,11
3,1,1,0,11
8.8,4,0,1,12
4.1,29,1,0,13
2.9,45,1,1,12
3.3,22,1,0,13
6.1,42,0,1,16
3,9,0,0,15
4.2,8,1,0,16
5.6,31,1,1,15
10,24,0,1,12
13,16,0,1,18
3.8,6,0,0,6
3.1,14,1,0,6
4.3,47,1,1,12
11,34,0,1,12
7.5,6,1,0,16
4.1,7,1,1,9
4.7,27,0,0,12
5,24,0,1,11
2.9,18,1,0,10
8,12,1,1,12
8.4,27,0,1,8
2.9,49,1,0,9
6.3,4,1,0,17
6.3,24,1,0,16
5.1,3,0,0,11
4,2,1,0,10
4.4,29,0,1,8
6.9,34,0,1,13
5.4,10,0,1,14
3,5,1,0,13
2.9,2,1,0,11
6.3,39,0,1,7
4.3,5,1,0,16
3.3,14,1,0,12
7.3,8,0,0,13
6.3,10,1,0,14
5.6,2,0,0,16
8.8,9,0,1,14
3.2,1,0,0,11
3,45,1,0,8
3,33,1,1,14
13,21,0,1,17
2.9,2,1,0,10
3.3,9,0,0,12
6.5,33,0,0,12
10,16,0,0,18
4.5,10,0,0,14
10,9,0,1,18
3.8,8,1,0,12
8.8,9,0,0,16
9.4,23,1,0,14
6.3,23,0,1,12
4,22,0,1,9
2.9,37,1,0,12
20,22,0,1,12
11,28,0,1,17
3.5,14,1,0,12
6,19,1,1,15
14,10,0,1,17
6.4,25,0,0,16
3.5,21,1,0,12
3,32,0,0,15
4.5,21,0,1,16
6.6,36,1,0,12
9.3,2,0,0,15
3,11,1,0,12
3.3,40,1,0,12
1.5,11,1,0,12
5.9,9,1,1,12
8,23,0,1,16
2.9,1,1,0,11
3.3,30,0,1,14
6.5,41,0,1,14
4,6,1,0,13
6,11,0,0,14
4.1,43,1,1,12
3.8,39,1,0,12
3,50,1,1,8
3.5,26,1,1,12
2.9,51,0,1,3
4.5,3,0,1,11
3.3,3,1,0,15
5.9,15,0,1,11
8,17,0,1,12
3,36,0,0,4
5,31,0,1,9
5.5,9,0,1,12
2.7,42,1,1,12
3,3,1,0,11
4.5,37,1,1,12
18,23,0,1,16
8.2,21,0,1,13
9.1,11,0,1,15
12,35,0,1,16
3.3,42,1,0,12
4.5,3,0,0,12
4.5,13,0,0,12
3.7,14,0,1,9
6.5,14,0,1,10
2.9,39,1,0,12
5.6,11,0,1,11
2.2,28,0,1,8
5,18,1,0,6
8.3,6,0,0,16
2.9,26,1,0,12
6.3,21,0,1,12
4.6,34,0,0,16
3.3,17,1,0,12
2.3,2,1,0,10
3.3,5,1,0,13
3.2,1,1,0,13
13,40,0,1,14
5.2,39,1,1,16
3.1,1,0,0,10
7.3,14,0,1,12
2.9,2,1,0,12
1.8,2,0,0,11
2.9,42,1,0,0
2.9,34,1,0,5
18,10,0,1,16
6.3,4,0,1,16
2.6,4,0,0,9
6.6,21,1,1,15
3.5,31,1,1,12
6.5,20,0,1,12
3,36,1,0,12
4.4,7,0,0,13
10,15,0,0,12
4.9,25,0,1,7
9,7,1,0,17
1.4,17,1,0,12
3.1,3,0,0,12
9.3,12,0,1,14
7.5,18,0,1,12
4.8,47,0,0,13
5.7,2,0,0,12
15,14,1,0,16
2.3,2,1,0,10
4.7,13,0,1,15
12,5,0,0,16
3.5,5,1,1,14
